ID,ID_Categoria,Nome,Descricao,Ordem,Ativo,Data_Criacao,Data_Atualizacao,Observacoes
DOM001,CAT001,Fundamentos de BPM,Domínio composto por 2 competência(s) pesquisada(s) no HEATMAP.,1,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Processos.
DOM002,CAT001,Mapeamento de Processos,Domínio composto por 2 competência(s) pesquisada(s) no HEATMAP.,2,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Processos.
DOM003,CAT001,Melhoria Contínua,Domínio composto por 3 competência(s) pesquisada(s) no HEATMAP.,3,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Processos.
DOM004,CAT001,Governança e Documentação,Domínio composto por 3 competência(s) pesquisada(s) no HEATMAP.,4,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Processos.
DOM005,CAT001,Governança de Processos,Domínio composto por 4 competência(s) pesquisada(s) no HEATMAP.,5,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Processos.
DOM006,CAT001,Gestão Estratégica de Processos,Domínio composto por 2 competência(s) pesquisada(s) no HEATMAP.,6,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Processos.
DOM007,CAT001,Automatização de Processos,Domínio composto por 2 competência(s) pesquisada(s) no HEATMAP.,7,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Processos.
DOM008,CAT002,Fundamentos de TI,Domínio composto por 2 competência(s) pesquisada(s) no HEATMAP.,1,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Sistemas.
DOM009,CAT002,ERP e Aplicações Corporativas,Domínio composto por 2 competência(s) pesquisada(s) no HEATMAP.,2,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Sistemas.
DOM010,CAT002,Integrações e APIs,Domínio composto por 2 competência(s) pesquisada(s) no HEATMAP.,3,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Sistemas.
DOM011,CAT002,Cloud Computing,Domínio composto por 3 competência(s) pesquisada(s) no HEATMAP.,4,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Sistemas.
DOM012,CAT002,Segurança de Sistemas,Domínio composto por 5 competência(s) pesquisada(s) no HEATMAP.,5,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Sistemas.
DOM013,CAT002,Gestão de Projetos,Domínio composto por 3 competência(s) pesquisada(s) no HEATMAP.,6,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Sistemas.
DOM014,CAT002,ITIL e Governança de TI,Domínio composto por 2 competência(s) pesquisada(s) no HEATMAP.,7,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Sistemas.
DOM015,CAT003,SQL,Domínio composto por 3 competência(s) pesquisada(s) no HEATMAP.,1,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Dados.
DOM016,CAT003,Python para Dados,Domínio composto por 4 competência(s) pesquisada(s) no HEATMAP.,2,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Dados.
DOM017,CAT003,Power BI,Domínio composto por 3 competência(s) pesquisada(s) no HEATMAP.,3,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Dados.
DOM018,CAT003,Visualização de Dados,Domínio composto por 4 competência(s) pesquisada(s) no HEATMAP.,4,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Dados.
DOM019,CAT003,Modelagem Dimensional,Domínio composto por 2 competência(s) pesquisada(s) no HEATMAP.,5,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Dados.
DOM020,CAT003,Data Warehouse e Lakehouse,Domínio composto por 2 competência(s) pesquisada(s) no HEATMAP.,6,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Dados.
DOM021,CAT003,Engenharia de Dados,Domínio composto por 2 competência(s) pesquisada(s) no HEATMAP.,7,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Dados.
DOM022,CAT003,Governança de Dados,Domínio composto por 4 competência(s) pesquisada(s) no HEATMAP.,8,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Dados.
DOM023,CAT003,Estatística para BI,Domínio composto por 3 competência(s) pesquisada(s) no HEATMAP.,9,True,2026-07-17,2026-07-17,Origem: coluna Subárea. Área de origem: Dados.
